"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Non-positive FPS must be rejected.","1","test_omni_config_invalid_video_fps[-1]","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","","test_omni_args","",""
"Test PlannerConfig accepts global-planner environment with namespace.","0","test_global_planner_mode","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_planner_config","",""
"Test rollout in progress: desired=4, updated=2, ready=4 (old replicas still running)","0","test_get_service_replica_status_rollout_in_progress","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kube","",""
"Result always has the four required keys with zeroed latencies.","1","test_returns_expected_structure","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestRunNaiveFallback","test_helpers_rapid","",""
"Test that missing server URL raises ValueError for mx load formats.","4","test_model_express_url_missing_raises[mx-source]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_unit","",""
"Test error handling when registry fails.","0","test_error_handling","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestGetPrometheusExpfmt","test_vllm_prometheus_utils","",""
"","0","test_set_component_replicas_empty_target_replicas","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kubernetes_connector","",""
"Text-only routing should increase overlap on repeat and then stabilize.","6635","test_trtllm_text_only_overlap_repeated_prompt","tests.mm_router","2026-04-06","passed","2026-04-06","","test_mm_router_e2e","",""
"Test that various value ranges are preserved with float32 precision.","1","test_embedding_value_ranges_preserved[mixed]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestEmbeddingsDataFormats","test_vllm_prompt_embeds","",""
"When mocker is enabled and AIC picks agg, chosen is overridden to disagg.","1","test_mocker_enabled_agg_picked_overrides_to_disagg","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestRunDefaultSimForceDisagg","test_helpers_rapid","",""
"","1","test_get_service_name_from_sub_component_type","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kubernetes_connector","",""
"Verify EventBatch/KVEventBatch has expected fields.","1","test_event_batch_fields","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestVllmKvEventsApi","test_vllm_kv_events_api","",""
"","2","test_sleep_and_wake_are_idempotent","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_sleep_wake_handlers","",""
"","37","test_run_synthetic_concurrency_replay_matches_aic_static_point_no_prefix[1024-vllm]","lib.bindings.python.tests.replay","2026-04-06","passed","2026-04-06","","test_replay_aic_parity","",""
"For repeated same two-identical-image request: low first overlap, then increase, then stable.","3516","test_vllm_mm_overlap_repeated_two_identical_images","tests.mm_router","2026-04-06","passed","2026-04-06","","test_vllm_mm_router_e2e","",""
"Regression: final chunk contains reasoning end + tool call + finish.

    When </think>, <tool_call>... </tool_call>, and finish_reason=stop arrive
    in one CompletionOutput, the tool call must still be emitted.
    ","1","test_stream_interval_20_reasoning_and_tool_finish_same_chunk","tests.frontend","2026-04-06","passed","2026-04-06","","test_prepost","",""
"e2eLatency takes precedence and nulls out ttft/itl.","0","test_e2e_latency_clears_ttft_itl","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestValidDgdrSpec","test_helpers_profile_sla","",""
"","2","test_decode_with_prefill_metadata_bypasses_guard","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestMultimodalGuard","test_trtllm_handler_base","",""
"searchStrategy: thorough is correctly reflected in the returned tuple.","0","test_thorough_strategy_extracted","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestExtractProfilerParams","test_helpers_profile_sla","",""
"Different images should produce lower overlap than repeated identical images.","4191","test_vllm_mm_overlap_diff_images_less_than_same","tests.mm_router","2026-04-06","passed","2026-04-06","","test_vllm_mm_router_e2e","",""
"","88","test_unsupported_args_get_pruned_for_autodeploy[engine_args2-True]","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestTensorRTLLMEngine","test_trtllm_autodeploy","",""
"Reasoning + plain content, no tool calls.

    When </think> and the actual response content arrive in the same chunk
    (with finish_reason=stop), the content must still be emitted.  This
    reproduces a regression where the post-reasoning content was
    unconditionally buffered for tool-call extraction and never emitted
    when no tool call was present.
    ","0","test_no_tool_call","tests.frontend","2026-04-06","passed","2026-04-06","","test_prepost","",""
"Test basic prefill replica calculation.","2","test_prefill_replica_calculation_basic","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestReplicaCalculation","test_replica_calculation","",""
"Test FrontendMetric with partial data (optional fields)","0","test_frontend_metric_with_partial_data","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_prometheus","",""
"","1","test_remove_component_decreases_replicas","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kubernetes_connector","",""
"concurrency and requestRate are mutually exclusive.","0","test_both_concurrency_and_rate_raises","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestValidDgdrSpec","test_helpers_profile_sla","",""
"Empty image_urls raises ValueError.","1","test_empty_urls_raises_error","components.src.dynamo.trtllm.tests.multimodal","2026-04-06","passed","2026-04-06","TestFetchEmbeddingsFromEncoder","test_trtllm_embedding_fetcher","",""
"","0","test_get_service_name_from_sub_component_type_not_found","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kubernetes_connector","",""
"","0","test_region_treats_model_weights_as_weights","tests.gms.integration","2026-04-06","passed","2026-04-06","","test_gms_sglang_memory_saver","",""
"Test a mix of None, falsy, and truthy values.","0","test_mixed_values","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestOverrideSamplingParams","test_trtllm_handler_base","",""
"","0","test_aggregated[False]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestCreate","test_vllm_worker_factory","",""
"","1","test_basic_itl_estimate","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestDecodeRegressionModel","test_load_based_scaling","",""
"","4763","test_initialize_from_config_uses_kv_cache_gms_tag","tests.gms.integration","2026-04-06","passed","2026-04-06","","test_gms_vllm_worker","",""
"Test GlobalPlannerConnector scaling with enum conversion and predicted load","2","test_connector_set_replicas_success","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_remote_planner","",""
"best_latencies come from the chosen experiment's entry.","1","test_latencies_extracted_from_chosen_exp","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestRunDefaultSim","test_helpers_rapid","",""
"T2V has no multi_modal_data; I2V attaches image to prompt.","0","test_t2v_no_multi_modal_data_and_i2v_attaches_image","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestI2VEngineInputs","test_omni_handler","",""
"Test that build_headless_namespace produces a Namespace with fields
    required by vLLM's run_headless(), including the api_server_count fallback.","36","test_headless_namespace_has_required_fields","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_unit","",""
"","1","test_quiesce_without_level_uses_vllm_default_sleep","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_sleep_wake_handlers","",""
"","0","test_benchmark_config_kwargs_unpack","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestBenchmarkConfig","test_vllm_unit","",""
"Verify FinishReason enum names and string representations.

        vllm_processor.py maps router finish_reason strings to FinishReason
        enum values via _FINISH_REASON_MAP, and the output processor uses
        str(finish_reason) for the OpenAI response format.
        ","1","test_finish_reason_enum_contract","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestVllmRendererApi","test_vllm_renderer_api","",""
"Test decoding embeddings of various sizes.","1","test_various_embedding_sizes[2048]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestEmbeddingsDataFormats","test_vllm_prompt_embeds","",""
"Test factory creates PrefillHandler with no cache when capacity is 0.","1","test_prefill_handler_without_encoder_cache","components.src.dynamo.trtllm.tests.request_handlers","2026-04-06","passed","2026-04-06","TestRequestHandlerFactory","test_trtllm_request_handler_factory","",""
"None sla is populated with a default SLASpec.","0","test_none_sla_gets_default","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestValidDgdrSpec","test_helpers_profile_sla","",""
"","1","test_warns_old_vllm","components.src.dynamo.vllm.tests.multimodal_utils","2026-04-06","passed","2026-04-06","TestVersionCheck","test_vllm_multimodal_embedding_cache_connector","",""
"Verify OutputProcessor init, add_request, process_outputs, and
        abort_requests signatures match what vllm_processor.py calls.
        ","0","test_output_processor_api_shape","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestVllmRendererApi","test_vllm_renderer_api","",""
"Pydantic Literal validation rejects invalid task_type at construction.","0","test_invalid_task_type_rejected_by_pydantic","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestValidateTtsRequest","test_audio_handler","",""
"stream_interval=1: one token per chunk. Baseline that works.","4","test_stream_interval_1","tests.frontend","2026-04-06","passed","2026-04-06","","test_prepost","",""
"throughput_metrics_source defaults to 'frontend'.","1","test_throughput_metrics_source_default","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_planner_config","",""
"Same images but different prompt should produce lower overlap than repeated same prompt.","10073","test_trtllm_mm_overlap_same_images_different_prompt_less_than_same_prompt","tests.mm_router","2026-04-06","passed","2026-04-06","","test_mm_router_e2e","",""
"","0","test_correction_factor_not_disabled_without_loadbased","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestCorrectionFactorAutoDisable","test_load_based_scaling","",""
"Different images should produce lower overlap than repeated identical images.","10061","test_trtllm_mm_overlap_diff_images_less_than_same","tests.mm_router","2026-04-06","passed","2026-04-06","","test_mm_router_e2e","",""
"Test usage statistics calculation for various scenarios.","0","test_build_completion_usage[zero-seq-len]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestUsageStatistics","test_vllm_prompt_embeds","",""
"Test Kubernetes deployment end-to-end.

    This test:
    1. Deploys the specified configuration to Kubernetes
    2. Waits for all pods to become ready
    3. Port-forwards to the frontend service
    4. Waits for the model to be available
    5. Sends a test chat completion request
    6. Validates the response structure and content

    Args:
        deployment_target: The deployment target containing path and metadata
        deployment_spec: Configured DeploymentSpec from fixture
        namespace: Kubernetes namespace for the deployment
        skip_service_restart: Whether to skip restarting NATS/etcd services (default: True).
            Use --restart-services flag to restart services before deployment.
        request: Pytest request object for accessing test metadata
    ","257485","test_deployment[vllm-agg_router]","tests.deploy","2026-04-06","passed","2026-04-06","","test_deploy","",""
"
    Test dynamo deployments with different configurations.
    ","135801","test_deployment[epd_multimodal-2]","tests.serve","2026-04-06","passed","2026-04-06","","test_trtllm","",""
"","0","test_empty_frames_returns_none","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestDiffusionFormatterVideo","test_output_formatter","",""
"Test _get_average_metric when prometheus returns empty list","1","test_get_average_metric_empty_result","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_prometheus","",""
"","64","test_benchmark_config_defaults","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestBenchmarkConfig","test_vllm_unit","",""
"","0","test_decode_worker[None]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestResolveDisaggregationModeFromLegacyMultimodalFlags","test_backend_args","",""
"Test fps with default seconds (4).","0","test_compute_num_frames_only_fps","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestVideoHandlerComputeNumFrames","test_trtllm_video_diffusion","",""
"Test that ValueError is raised when messages list is empty.","1","test_extract_user_text_empty_messages","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_chat_message_utils","",""
"Test generate() with url response format calls upload_to_fs.","16","test_url_response_format","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestVideoHandlerResponseFormats","test_trtllm_video_diffusion","",""
"","0","test_insufficient_data","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestPrefillRegressionModel","test_load_based_scaling","",""
"Test _managed_dgd_names returns None when no managed namespaces set.","0","test_managed_dgd_names_implicit","components.src.dynamo.global_planner.tests.unit","2026-04-06","passed","2026-04-06","","test_scale_request_handler","",""
"Verify DeltaMessage has fields used by StreamingPostProcessor.

        process_output() reads content, reasoning, and tool_calls from
        DeltaMessage objects returned by reasoning/tool parsers. New fields
        in vLLM are acceptable; missing fields break post-processing.
        ","0","test_delta_message_fields","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestVllmRendererApi","test_vllm_renderer_api","",""
"","3","test_release_and_resume_use_explicit_request_tags","components.src.dynamo.sglang.tests","2026-04-06","passed","2026-04-06","","test_sglang_memory_occupation_handlers","",""
"hardware.numGpusPerNode must be positive.","0","test_zero_gpus_per_node_raises","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestValidDgdrSpec","test_helpers_profile_sla","",""
"","0","test_text_without_request_output_returns_none","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestOutputFormatter","test_output_formatter","",""
"","1","test_derive_backend_image_preserves_registry_tag_and_digest[nvcr.io/nvidia/ai-dynamo/dynamo-frontend:1.2.3-vllm-nvcr.io/nvidia/ai-dynamo/vllm-runtime:1.2.3]","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","","test_planner_image_selection","",""
"Test invalid format returns defaults with warning.","1","test_parse_size_invalid_format","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestVideHandlerParseSize","test_trtllm_video_diffusion","",""
"Test that default disaggregation mode is AGGREGATED.","4","test_disaggregation_mode_default","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_unit","",""
"When modelCache.pvcName is set, PVC overrides are injected into generator params.","2","test_with_pvc_passes_pvc_overrides","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestRunNaiveFallback","test_helpers_rapid","",""
"NaN values are coerced to 0 before being stored.","0","test_nan_treated_as_zero","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestConstantPredictor","test_load_predictors","",""
"Test replica calculation with multi-GPU engines.","2","test_multi_gpu_engines","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestReplicaCalculation","test_replica_calculation","",""
"","0","test_sleep_level_2_unmaps_weights_and_kv_cache","tests.gms.integration","2026-04-06","passed","2026-04-06","","test_gms_vllm_worker","",""
"","0","test_frontend_metric_container_with_nan_value","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_prometheus","",""
"Test usage statistics calculation for various scenarios.","0","test_build_completion_usage[embeddings]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestUsageStatistics","test_vllm_prompt_embeds","",""
"","0","test_routes_image","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestOutputFormatter","test_output_formatter","",""
